businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Maria's Kitchen,,1819 Centre,West Roxbury,MA,2132,Active,FS,Eating & Drinking,2017-04-12 18:11:08.603+00,6175933959,27728,42.28706071,-71.15368392
Maria's Taqueria,,226 Tremont,Boston,MA,2116,Active,FS,Eating & Drinking,2008-03-20 16:58:55+00,6178773258,137459,42.35138953,-71.06457048
Mariel,,10 Post Office,Boston,MA,2109,Active,FS,Eating & Drinking,2019-02-22 15:18:07.273+00,9783175796,112362,42.35750764,-71.05584881
MARINER'S HOUSE,,9 NORTH,BOSTON,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:34:07+00,6172273979,,42.36387188,-71.05362941
Mario's,,8 Perkins,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,2023-08-01 16:44:59.683+00,,396166,42.32168959,-71.11063065
MARIO'S RESTAURANT,,347 CHELSEA,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,2006-12-07 18:34:21+00,6175678608,,42.37817956,-71.02887179
Market Bagels,HSI MCA BOS FB  LLC,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2019-06-27 16:00:46.92+00,6176346097,341352,42.36661942,-71.01658968
Market Bar,HSI MCA BOS FB  LLC,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2019-06-27 15:54:59.117+00,6176346097,341352,42.36661942,-71.01658968
Market Cafe,,39 Dalton,Boston,MA,2116,Active,FS,Eating & Drinking,2017-11-30 18:37:42.607+00,,45830,42.34656955,-71.08384053
Market Place West 3 - Stand #104,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:33:35+00,6176241600,,34.24438675,-73.6513909
Marketplace Cafe & Take Away,,240 Mount Vernon,Dorchester,MA,2125,Active,FS,Eating & Drinking,2006-12-07 18:35:07+00,6178223600,98929,42.32036131,-71.04798443
MARRIOTT HOTEL-COPLEY PLACE,,110 HUNTINGTON ,BOSTON,MA,2116,Active,FS,Eating & Drinking,2006-12-07 18:34:17+00,2365800,,42.34703225,-71.07783038
MARRIOTT'S CUSTOM HOUSE,,3 MC KINLEY,BOSTON,MA,2109,Active,FS,Eating & Drinking,2006-12-07 18:34:53+00,6173106300,,42.35904201,-71.0535599
