X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,ObjectId
-71.071169321,42.319379316,43771,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07117,42.31938,368
-71.071169321,42.319333701,43772,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,4,--,Boston,Roxbury,Mary Hannon Park,-71.07117,42.31933,369
-71.069720761,42.326659019,43773,"Maple, Sugar",Acer saccharum,1,12-18in,15,--,Boston,Roxbury,Clifford Playground,-71.06972,42.32666,370
-71.069797204,42.3266263,43774,"Maple, Red",Acer rubrum,1,12-18in,15,--,Boston,Roxbury,Clifford Playground,-71.06979,42.32663,371
-71.069872306,42.326598538,43775,"Maple, Red",Acer rubrum,1,12-18in,15,--,Boston,Roxbury,Clifford Playground,-71.06987,42.3266,372
-71.070116387,42.326504345,43776,"Maple, Red",Acer rubrum,1,6-12in,8,--,Boston,Roxbury,Clifford Playground,-71.07011,42.3265,373
-71.070352421,42.326417092,43777,"Elm, American",Ulmus americana,1,>30in,35,--,Boston,Roxbury,Clifford Playground,-71.07035,42.32642,374
-71.070537493,42.326346695,43778,"Linden, Littleleaf",Tilia cordata,1,6-12in,10,--,Boston,Roxbury,Clifford Playground,-71.07053,42.32635,375
-71.070155279,42.326350661,43779,"Linden, Littleleaf",Tilia cordata,1,24-30in,27,--,Boston,Roxbury,Clifford Playground,-71.07015,42.32635,376
-71.070124433,42.326227714,43780,"Linden, Littleleaf",Tilia cordata,1,24-30in,27,--,Boston,Roxbury,Clifford Playground,-71.07012,42.32623,377
-71.070618127,42.326229035,43781,"Pagodatree, Japanese",Styphnolobium japonicum,1,18-24in,21,--,Boston,Roxbury,Clifford Playground,-71.07062,42.32623,378
-71.070540343,42.326172519,43782,"Linden, Littleleaf",Tilia cordata,1,24-30in,25,--,Boston,Roxbury,Clifford Playground,-71.07054,42.32617,379
-71.070445125,42.326116003,43783,"Linden, Littleleaf",Tilia cordata,1,18-24in,18,--,Boston,Roxbury,Clifford Playground,-71.07044,42.32611,380
-71.070304309,42.326033707,43784,"Linden, Littleleaf",Tilia cordata,1,18-24in,18,--,Boston,Roxbury,Clifford Playground,-71.0703,42.32603,381
-71.070243959,42.325982149,43785,"Linden, Littleleaf",Tilia cordata,1,24-30in,24,--,Boston,Roxbury,Clifford Playground,-71.07024,42.32598,382
-71.018986431,42.3825758,43786,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,18-24in,19,--,Boston,East Boston,McLean Playground,-71.01899,42.38258,383
-71.019053654,42.382557779,43787,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,9,--,Boston,East Boston,McLean Playground,-71.01905,42.38256,384
-71.019173012,42.382515182,43788,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,15,--,Boston,East Boston,McLean Playground,-71.01917,42.38251,385
-71.019233362,42.382480511,43789,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,16,--,Boston,East Boston,McLean Playground,-71.01923,42.38248,386
