,Number,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
170,A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Yes,15,0.030031959143687666,124534,5.095287937749097
171,A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Yes,47,0.015895660337057617,379223,5.578894669568366
172,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Yes,19,0.033370581064607885,118128,5.0723528510783895
173,C32087,Spring St at Powell St,42.27748444,-71.16341468,Yes,19,0.22378167641325536,2565,3.409087369447835
174,B32063,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,Yes,18,0.01972200141792167,46547,4.667891695512187
175,C32024,State Street at Channel Center,42.344137,-71.052608,Yes,19,0.028803342391544882,112973,5.052974661606229
176,D32041,Stony Brook T Stop,42.316966,-71.104374,Yes,19,0.059206944293203494,64283,4.8080961364958394
177,D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Yes,19,0.02753678267006895,92095,4.964236052223396
178,D32011,Stuart St at Charles St,42.351146,-71.066289,Yes,18,0.040722763796549336,122585,5.088437331391388
179,D32053,Sullivan Square,42.38445226,-71.07514855,Yes,19,0.023795315530359542,26812,4.428329210721689
180,A32013,Surface Rd at India St,42.358155,-71.052163,Yes,19,0.03880450334571416,138386,5.141092156375883
181,A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Yes,27,0.015893837038980344,91482,4.961335650681859
182,C32064,Sydney St at Carson St,42.32039374,-71.05355408,Yes,19,0.09075184501845018,17344,4.239149264858293
183,C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Yes,15,0.29671011793916824,4833,3.6842167951388807
184,C32110,Talbot Ave T Station,42.29225148,-71.07797205,Yes,19,0.11965811965811966,117,2.0681858617461617
185,E32011,The Dimock Center,42.31930943,-71.09639924,Yes,16,0.03262074425969913,6315,3.8003733548913496
186,A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Yes,15,0.2369595864661654,17024,4.231061610614955
187,C32028,The Lawn on D,42.344792,-71.044024,Yes,19,0.09941626729052627,88054,4.944749089303522
188,D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Yes,18,0.039525048796356536,12296,4.0897638544916886
189,C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Yes,19,0.024575117693335497,160162,5.204559483359148
190,B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Yes,18,0.032171434080235775,145222,5.162032413573791
191,C32056,Tremont St at Northampton St,42.3384318,-71.0816905,Yes,19,0.035923166590644165,98655,4.994119100914937
192,C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Yes,15,0.024398940505297475,78528,4.895024536710891
193,D32014,Tremont St at West St,42.354979,-71.063348,Yes,15,0.05528781360847861,185502,5.2683485963461125
194,C32035,Troy Boston,42.343749,-71.062256,Yes,5,0.023390861623046016,61477,4.7887126663222634
195,A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Yes,19,0.03231142924006811,123919,5.093137900101099
